CASE_CODE,PROCEDURE_CODE,CASE_TITLE,FIRM NAME,MEMBER_STATE,SECTOR,CASE_CODE,AID_INSTRUMENT,CASE_TYPE,START_DATE,END_DATE,NOTIFICATION_DATE,DECISIONS,LAST_DECISION,OBJECTIVES,DECISION_DATE,OJ_INFO,RELATED_CASES,BvD_ID_NUMBER,STATUS(0=SURVIVAL / 1=M&A / 2=DEATH),DEAL_TYPE,ACQUIROR,DATE_RACHAT_ou_death
N16/2000,N16/2000,"Aid in favour of FilmoTec GmbH, Sachsen-Anhalt",FilmoTec GmbH,Germany,x,N16/2000,Other forms of equity intervention,Individual Application,,,03-01-00,"Article 4(3) - decision not to raise objections, Corrigendum",Decision not to raise objections,Restructuring firms in difficulty,04-10-00,JOCE C/315/2000,,DE3290055348,0,,,
C15/1998,C15/1998,Kranbau Köthen GmbH,Kranbau Köthen GmbH,Germany,C.33.20 - Installation of industrial machinery and equipment,C15/1998,Other,Ad Hoc Case,,,25-02-98,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,21-12-00,"JOCE C/338/1998, JOCE L/097/2003",,DE3290208237,1,,,
C31/2000,"C31/2000, NN38/1999","CR31/2000 - Aid to Neue Harzer Werke GmbH Blankenburg, Sachsen-Anhalt",Neue Harzer Werke GmbH Blankenburg,Germany,C.24.10 - Manufacture of basic iron and steel and of ferro-alloys,C31/2000,"Direct grant, Other forms of equity intervention, Soft loan, Tax allowance",Individual Application,,,19-05-00,"Decision to extend proceedings, Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative Decision with Recovery,Restructuring firms in difficulty,10-12-03,"JOCE C/032/2002, JOCE C/301/2000, JOCE L/134/2002, JOCE L/190/2005",,DE3370052790,2,,,31.12.2017
C28/2000,"C28/2000, NN52/1999",CR28/2000 - Aid in favour of Hirschfelder Leinen und Textil GmbH (HILTEX),Hirschfelder Leinen und Textil GmbH (HILTEX),Germany,C.13 - Manufacture of textiles,C28/2000,"Debt write-off, Guarantee, Interest subsidy",Ad Hoc Case,,,26-04-00,"Article 10(3) - information injunction, Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) and 14(1) - negative decision with recovery, Corrigendum",Negative decision with recovery,Restructuring firms in difficulty,30-01-02,"JOCE C/087/2001, JOCE C/272/2000, JOCE L/314/2002",,DE3390085520 ,"pas trouvé, trop vieux de toute façon (1999)",,,
C35/2000,"C35/2000, NN81/1998","Aid to Saalfelder Hebezeugbau, GmbH, Thüringen","Saalfelder Hebezeugbau, GmbH",Germany,C.33.20 - Installation of industrial machinery and equipment,C35/2000,"Direct grant, Other forms of equity intervention, Soft loan",Ad Hoc Case,,,19-06-00,"Article 10(3) - information injunction, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Corrigendum",Positive decision,Restructuring firms in difficulty,07-05-02,JOCE C/027/2001,,DE3430000394,0,,,
N701/2000,N701/2000,Aid in favour of FA. WERNAL ALUMINIUM TECHNIK GmbH (Neumünster),FA. WERNAL ALUMINIUM TECHNIK GmbH (Neumünster),Germany,x,N701/2000,"Direct grant, Interest subsidy",Ad Hoc Case,,,23-10-00,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,28-03-01,JOCE C/330/2001,,DE4070101252,2,,,
C31/2001,"C31/2001, NN156/1999",CR31/01 - Schmitz-Gotha Fahrzeugwerk GmbH,Schmitz-Gotha Fahrzeugwerk GmbH,Germany,F - Construction,C31/2001,Direct grant,Ad Hoc Case,,,23-05-01,"Article 10(3) - information injunction, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) and 14(1) - negative decision with recovery",Negative decision with recovery,Restructuring firms in difficulty,30-10-02,"JOCE C/211/2001, JOCE L/77/2003",,DE4250002641,0,,,
N90/2009,N90/2009,"Rescue aid for Palla Creativ Textiltechnik, Saxony","Palla Creativ Textiltechnik, Saxony",Germany,C.13 - Manufacture of textiles,N90/2009,Soft loan,Individual Application,01-04-2009,30-09-2009,16-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,"Employment, Rescuing firms in difficulty",30-03-09,JOCE C/125/2009,,DE5010371236  ,2,,,27.08.2003
N703b/2002,N703b/2002,BBP Service (Babcock Borsig Power Service GmbH),Babcock Borsig Power Service GmbH,Germany,F - Construction,N703b/2002,Guarantee,Ad Hoc Case,,,07-11-02,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,19-03-03,JOCE C/143/2003,,DE5250103494 ,1,,BDAG BALCKE_DUERR AG,02/04/2003
N842/2001,"C1/2000, N769/1999","Modification of aid to Philipp Holzmann AG, Germany","Philipp Holzmann AG, Germany",Germany,F - Construction,N842/2001,"Guarantee, Other forms of equity intervention",Ad Hoc Case,,,25-01-00,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,08-05-01,"JOCE C/110/2000, JOCE L/248/2001",,DE6070004264,2,,,2002
C15/2001,"C15/2001, NN11/2000",Aid in favour of AMBAU GmbH,AMBAU GmbH,Germany,F - Construction,C15/2001,Direct grant,Ad Hoc Case,,,11-03-01,"Article 10(3) - information injunction, Article 4(4) - decision to extend proceedings, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,27-11-02,"JOCE C/105/2002, JOCE C/179/2001, JOCE L/103/2003",,DE8130055654,0,,,
N634/2002,N634/2002,Aid in favour of Grundig AG - Rescue Aid,Grundig AG,Germany,C.27 - Manufacture of electrical equipment,N634/2002,Guarantee,Ad Hoc Case,,,30-09-02,"Article 4(3) - decision not to raise objections, Other",Decision not to raise objections,Rescuing firms in difficulty,15-05-06,JOCE C/082/2003,,DE8190004976,2,,,
N416/2009,N416/2009,Geänderte Rettungsbeihilfe für Quelle GmbH,Geänderte Rettungsbeihilfe für Quelle GmbH,Germany,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,N416/2009,Other,Individual Application,10-07-2009,,13-07-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,22-07-09,JOCE C/286/2010,,DE8190451825,0,,,
N382/2009,N382/2009,Rettungsdarlehen zugunsten der Quelle GmbH,Quelle GmbH,Germany,"G.47 - Retail trade, except of motor vehicles and motorcycles",N382/2009,Other,Individual Application,29-06-2009,,25-06-09,Decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,30-06-09,,,DE8190451825,2,,,19.10.2009
N213/2009,N213/2009,€ - $ - Change of IKB Decision,IKB,Germany,K - Financial and insurance activities,N213/2009,"Guarantee, Other forms of equity intervention",Ad Hoc Case,15-05-2009,15-05-2009,07-04-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,15-05-09,JOCE C/258/2009,"C10/2008, C10/2008",DEFEB13319,0,,,
C10/2008,"C10/2008, NN7/2008",€ - $ - Restructuring aid to IKB,IKB,Germany,K - Financial and insurance activities,C10/2008,"Guarantee, Other forms of equity intervention, Soft loan",Ad Hoc Case,,,01-10-08,"Conditional decision, Corrigendum, Decision to initiate the formal investigation procedure",Decision to initiate the formal investigation procedure,Restructuring firms in difficulty,02-02-09,"JOCE C/76/2008, JOCE L/278/2009",,DEFEB13319,1,Institutional Buyout 90.8%,Lone Star Global Acquisitions,29/10/2008
NN25/2008,NN25/2008,€ - WestLB,WestLB,Germany,"K.64 - Financial service activities, except insurance and pension funding",NN25/2008,Guarantee,Ad Hoc Case,,,27-03-08,"Article 4(3) - decision not to raise objections, Corrigendum",Decision not to raise objections,Rescuing firms in difficulty,17-07-08,JOCE C/189/2008,,DEFEB14021,0,,,
C9/2008,"C9/2008, NN8/2008",€ - $ - Restructuring aid to Sachsen LB,Sachsen LB,Germany,K - Financial and insurance activities,C9/2008,"Other forms of equity intervention, Soft loan",Ad Hoc Case,,,20-08-07,"Conditional decision, Corrigendum, Decision to initiate the formal investigation procedure",Decision to initiate the formal investigation procedure,Restructuring firms in difficulty,08-08-08,"JOCE C/71/2008, JOCE L/104/2009",,DEFEB14829,1,Acquisition 100%,Landesbank BadenWuttemberg,07/03/2008
NN53/2001,NN53/2001,Bankgesellschaft Berlin AG - rescue aid,Bankgesellschaft Berlin AG,Germany,S.96.0 - Other personal service activities,NN53/2001,x,Ad Hoc Case,,,30-05-01,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,25-07-01,JOCE C/130/2002,,DEFEB15517,1,Acquisition 100%,Deutscher Sparkassen- und Giroverband (DSGV),08/082007
NN44/2008,NN44/2008,€ - $ - Rescue aid to Hypo Real Estate.,Hypo Real Estate,Germany,K - Financial and insurance activities,NN44/2008,Guarantee,Ad Hoc Case,01-10-2008,01-04-2009,30-09-08,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,02-10-08,JOCE C/293/2008,,DEFEB16697,1,Acquisition 100%,SoFFiN,13/10/2009
SA.44910,2016/N,HSH-Nordbank,HSH Nordbank,Germany,x,SA.44910,Guarantee,Individual Application,,,21-03-16,"Corrigendum, Decision not to raise objections",Decision not to raise objections,Restructuring undertakings in difficulty,12-07-16,JOCE L/319/2016,"SA.29338, SA.29338, SA.29338, SA.29338, SA.52288",DEFEB19978,1,"Acquisition 94,9%",investisseurs privés,28/02/2018
C32/2009,"C32/2009, NN50/2009",€ - $ - Restructuring of Sparkasse Köln/Bonn,Sparkasse Köln/Bonn,Germany,K - Financial and insurance activities,C32/2009,Other forms of equity intervention,Ad Hoc Case,22-12-2008,,08-01-09,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision",Conditional decision,"Rescuing firms in difficulty, Restructuring firms in difficulty",29-09-10,"JOCE C/2/2010, JOCE L/235/2011",,DEFEB29867,0,,,
SA.52288,2018/N,Sale of HSH Nordbank AG,HSH Nordbank,Germany,"	K.64 - Financial service activities, except insurance and pension funding",SA.52288,x,Not applicable,,,23-10-18,"Corrigendum, Decision finding that the measures do not constitute aid",Decision finding that the measures do not constiture aid,"Remedy for a serious disturbance in the economy, Restructuring undertakings in difficulty",29-04-19,JOCE C/277/2019,SA.44910,DEFEB46445,0,,,
N287/2008,N287/2008,Rescue Aid to TV2/Danmark A/S,TV2/Danmark A/S,Denmark,J.60.2 - Television programming and broadcasting activities,N287/2008,Soft loan,Individual Application,17-07-2008,,16-06-08,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,04-08-08,JOCE C/9/2009,,DK10413494,0,,,
C19/2009,"C19/2009, N64/2009",Aid for the restructuring of TV 2/DANMARK A/S,TV 2/DANMARK,Denmark,"J.59.1 - Motion picture, video and television programme activities
J.60 - Programming and broadcasting activities
J.63.91 - News agency activities",C19/2009,"Guarantee, Soft loan",Individual Application,,,19-01-09,"Conditional decision, Corrigendum, Decision to initiate the formal investigation procedure",Decision not to raise objections,Restructuring firms in difficulty,21-09-11,"JOCE C/207/2009, JOCE L/50/2012",,DK10413494,0,,,
SA.15958,"C10/2005, NN127/2000",Restructuring aid to COMBUS A/S,COMBUS A/S,Denmark,H.49.3 - Other passenger land transport,SA.15958,"Debt write-off, Direct grant",Ad Hoc Case,01-01-2001,,30-11-00,"Article 4(3) - decision not to raise objections, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) and 14(1) - negative decision with recovery",Negative decision with recovery,"Restructuring firms in difficulty, Services of general economic interest",13-07-09,"JOCE C/133/2001, JOCE C/233/2005, JOCE L/345/2009",,DK15634294,1,Acquisition 50%,Connex,24/02/2001
NN36/2008,NN36/2008,€ - $ - Roskilde Bank,Roskilde Bank,Denmark,K - Financial and insurance activities,NN36/2008,"Guarantee, Other forms of equity intervention",Ad Hoc Case,11-07-2008,24-08-2008,11-07-08,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,31-07-08,JOCE C/238/2008,,DK50020010,1,Acquisition 100%,danish national bank,24/08/2008
SA.35956,"2013/C, 2013/NN",Rescue aid to Estonian Air,Estonian Air,Estonia,H.51.1 - Passenger air transport,SA.35956,Soft loan,Individual Application,,,20-02-13,"Decision to extend proceedings, Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative decision with recovery,Rescuing firms in difficulty,06-11-15,"JOCE C/150/2013, JOCE C/150/2013, JOCE L/174/2016","SA.36868, SA.36868",EE10076042,2,,,01/11/2015
SA.36868,"2013/N, 2014/C",Restructuring aid to Estonian Air,Estonian Air,Estonia,H.51.10 - Passenger air transport,SA.36868,Other,Individual Application,,,20-06-13,"Corrigendum, Decision finding that the measures do not constitute aid, Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative decision with recovery,Restructuring firms in difficulty,06-11-15,"JOCE C/141/2014, JOCE L/174/2016","SA.35956, SA.35956, SA.35956",EE10076042,2,,,01/11/2015
NN4/2000,NN4/2000,State aid in favour of Schiffsanlagenbau Barth GmbH,Schiffsanlagenbau Barth GmbH,Germany,C.33.20 - Installation of industrial machinery and equipment,NN4/2000,"Debt write-off, Direct grant",Ad Hoc Case,,31-12-2001,10-01-00,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,31-10-00,JOCE C/094/2001,,elle n'en a pas mais elle est sur zephyr,0,,,
C9/1995,C9/1995,Aide à la Sidérurgie (CECA) en faveur de Tubacex,Tubacex,Spain,C.24.10 - Manufacture of basic iron and steel and of ferro-alloys,C9/1995,Interest subsidy,Ad Hoc Case,,,14-02-95,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(2) - decision does not constitute aid (after formal investigation procedure), Article 7(5) and 14(1) - negative decision without recovery",Negative decision without recovery,Restructuring firms in difficulty,31-10-00,"JOCE C/110/2000, JOCE L/008/1997, JOCE L/052/2001",,ESA01003946,0,,,
C70/2001,"C70/2001, NN65/2001","State aid in favour of Hilados y Tejidos Puignero, S.A.","Hilados y Tejidos Puignero, S.A.",Spain,C.13 - Manufacture of textiles,C70/2001,"Guarantee, Soft loan",Scheme,,,19-09-01,"Decision to extend proceedings, Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative decision with recovery,Restructuring firms in difficulty,19-02-03,"JOCE C/164/2002, JOCE C/339/2001, JOCE L/337/2003",,ESA08754707,0,,,
C5/2000,"C5/2000, C68/1997",Alleged aid for SNIACE,SNIACE,Spain,C.20.60 - Manufacture of man-made fibres,C5/2000,Reduction of social security contributions,Individual Application,,,21-10-97,"Article 4(2) - decision does not constitute aid, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) and 14(1) - negative decision with recovery, Article 7(5) and 14(1) - negative decision without recovery",Negative Decision without recovery,Rescuing firms in difficulty,10-03-09,"JOCE C/049/1998, JOCE C/110/2000, JOCE L/011/2001, JOCE L/149/1999, JOCE L/210/2009","C5/2000, C5/2000",ESA28013225,0,,,
C39/2001,"C39/2001, N11/2001",Aide à la restructuration à Minas Rio Tinto sal,Minas Rio Tinto sal,Spain,C.24.10 - Manufacture of basic iron and steel and of ferro-alloys,C39/2001,"Guarantee, Soft loan",Ad Hoc Case,,,20-06-01,"Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative decision with recovery,Restructuring firms in difficulty,27-05-03,"JOCE C/367/2001, JOCE L/098/2004",,ESA28065886,0,,,
SA.41085,2015/N,"Rescue aid for Editorial Everest, S.A","Editorial Everest, S.A",Spain,J.58.11 - Book publishing,SA.41085,Loan/ Repayable advances,Ad Hoc Case,28-02-2015,,26-02-15,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,15-04-15,JOCE C/309/2015,,ESA28399970,1,Acquisition 100%,Ediciones Nobel SA,07/09/2018
C19/2003,"C19/2003, NN5/2003",Coal - Gonzalez y Diez la révocation de la décision 2002/827/CECA et de sa substitution par une nouvelle décision,Coal - Gonzalez y Diez,Spain,B.05.1 - Mining of hard coal,C19/2003,x,Ad Hoc Case,,,19-02-03,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Article 7(5) and 14(1) - negative decision without recovery",Negative decision without recovery,Restructuring firms in difficulty,05-11-03,"JOCE C/087/2003, JOCE L/119/2004",,ESA33000837,2,,,
C1/2006,"C1/2006, NN103/2005",Loan to Chupa Chups,Chupa Chups,Spain,C.10 - Manufacture of food products,C1/2006,x,Ad Hoc Case,05-09-2003,,22-04-05,"Decision finding that the measures do not constitute aid (after formal investigation procedure), Decision to initiate the formal investigation procedure, Negative decision with recovery, Positive decision",Positive decision,Rescuing firms in difficulty,11-03-08,"JOCE C/097/2006, JOCE L/235/2008, JOCE L/244/2007",,ESA33000852,1,Aquisition 100%,Perfetti SpA,16/08/2006
N323/2007,N323/2007,Restructuring aid to Vanyera3,Vanyera3,Spain,I.56.21 - Event catering activities,N323/2007,Guarantee,Ad Hoc Case,,,13-06-07,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,30-01-08,JOCE C/59/2008,,"ESA35049014
",1,Acquisition 100%,,
C20/2007,"C20/2007, NN31/2007",Pickman S.A. - La Cartuja de Sevilla,Pickman S.A. - La Cartuja de Sevilla,Spain,(entreprise de céramiques),C20/2007,"Direct grant, Soft loan",Scheme,02-03-2004,31-12-2009,05-04-06,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive Decision,Restructuring firms in difficulty,13-05-09,"JOCE C/239/2007, JOCE L/311/2009",,ESA41002353,1,Acquisition 100%,particulier,23/12/2005
N332/1999,"C33/1998, N332/1999",Aid for the restructuring of Babcock Wilcox S.A. (BWE),Babcock Wilcox S.A,Spain,F - Construction,N332/1999,Debt write-off,Ad Hoc Case,,,17-06-99,"Decision to extend proceedings, Decision to initiate the formal investigation procedure, Negative decision without recovery, Positive decision",Positive decision,Restructuring firms in difficulty,03-07-01,"JOCE C/232/2000, JOCE C/249/1998, JOCE C/280/1999, JOCE L/067/2002",,ESA48010466,1,Aquisition 100%,AE&E,2004
C20/2000,"C20/2000, NN146/1998",Aide à l'entreprise SNIACE S.A.,SNIACE S.A.,Spain,"C.17 - Manufacture of paper and paper products, C.20.60 - Manufacture of man-made fibres",C20/2000,Other forms of equity intervention,Ad Hoc Case,29-01-1998,29-01-2004,31-03-00,"Article 10(3) - information injunction, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive Decision,Restructuring firms in difficulty,11-12-02,"JOCE C/162/2000, JOCE L/108/2003",,ESA81385486,1,Acquisition 100%,Abengoa SA,31/03/2008
C10/2010,"C10/2010, N562/2009",Restructuring aid to A NOVO Comlink SL,A NOVO Comlink SL,Spain,S.95 - Repair of computers and personal and household goods,C10/2010,"Guarantee, Interest subsidy, Soft loan",Individual Application,30-10-2009,,16-10-09,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Article 8(2) - withdrawal of notification (after formal investigation procedure)",Article 8(2) - withdrawal of notification (after formal investigation procedure),Restructuring firms in difficulty,23-03-11,"JOCE C/140/2010, JOCE L/90/2012",,ESB62714233,1,Acquisition 100%,CEDRO SOLUCIONES TOTALES SLU,31/03/2013
SA.34169,2012/NN,Rescue aid for SEDA SOLUBLES S.L.,SEDA SOLUBLES S.L.,Spain,C.10.83 - Processing of tea and coffee,SA.34169,Soft loan,Ad Hoc Case,23-12-2011,23-06-2012,04-01-12,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,22-06-12,JOCE C/230/2012,,ESB82300567,0,,,
SA.38324,2014/N,Restructuring aid for Alestis,Alestis,Spain,	C.30.3 - Manufacture of air and spacecraft and related machinery,SA.38324,"Other forms of equity intervention, Soft loan, Tax deferment",Individual Application,17-02-2014,,13-02-14,"Corrigendum, Decision not to raise objections",Decision not to raise objections,Restructuring firms in difficulty,08-10-14,JOCE C/418/2014,,ESB91668137,1,Aquisition 56.5%,Aribus,05/12/2014
SA.27420,"C12/2009, N19/2009",Osuuskunta Karjaportti,Osuuskunta Karjaportti,Finland,C.10 - Manufacture of food products,SA.27420,"Debt write-off, Direct grant, Guarantee, Soft loan",Ad Hoc Case,,,15-01-09,"Decision to extend proceedings, Decision to initiate the formal investigation procedure, Negative decision with recovery, Positive decision",Positive decision,"Employment, Rescuing firms in difficulty",12-06-12,"JOCE C/134/2009, JOCE C/58/2010, JOCE L/12/2013",,FI01651059,0,,,
SA.32698,2011/NN,Restructuring aid to Air Åland Ab,Air Åland Ab,Finland,"N.79 - Travel agency, tour operator and other reservation service and related activities",SA.32698,Soft loan,Ad Hoc Case,31-01-2011,,10-03-11,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,22-02-12,JOCE C/160/2012,,FI19449203,1,Acquisition 100%,Nextjet,01/07/2012
SA.41044,2015/NN,Aide au sauvetage de la Société Immobilière de Guyane,Société Immobilière de Guyane,France,"O.84.12 - Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",SA.41044,Direct grant,Individual Application,,,23-02-15,Decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,10-08-15,JOCE C/387/2015,,FR304992993,0,,,
N779/2002,N779/2002,Soutien financier à France Télécom,France Télécom,France,J.61 - Telecommunications,N779/2002,Other,Individual Application,,,19-09-02,Article 4(4) - decision to initiate the formal investigation procedure,Decision to initiate the formal investigation procedure,Restructuring firms in difficulty,30-01-03,,,FR314988890,0,,,
C14/1999,"C14/1999, NN1/1999",Tasq SA,Tasq SA,France,S.96.0 - Other personal service activities,C14/1999,Debt write-off,Ad Hoc Case,01-01-1988,31-12-1997,17-02-99,"Decision does not constitute aid (after formal investigation procedure), Decision to initiate the formal investigation procedure",Decision to initiate the formal investigation procedure,Rescuing firms in difficulty,03-05-00,"JOCE C/194/1999, JOCE L/227/2002",,FR327774915,1,Acquisition 100%,Econocom Group SA,03/12/2002
N370/2004,N370/2004,Aide à la restructuration de la société Imprimerie nationale,Imprimerie nationale,France,x,N370/2004,Debt write-off,Ad Hoc Case,,,31-08-04,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,20-07-05,JOCE C/54/2008,,FR352973622,0,,,
N616/2003,N616/2003,Aide au sauvetage de l'imprimerie nationale,Imprimerie Nationale,France,x,N616/2003,Other forms of equity intervention,Ad Hoc Case,,,23-12-03,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,18-02-04,JOCE C/306/2006,,FR352973622,0,,,
C2/1999,"C2/1999, NN134/1998",Aides en faveur des ACH construction navale (ACHCN),ACH construction navale,France,C.30.1 - Building of ships and boats,C2/1999,Direct grant,Individual Application,,,20-01-99,"Decision to initiate the formal investigation procedure, Positive decision",Positive decision,"Rescuing firms in difficulty, Social support to individual consumers",25-04-01,"JOCE C/113/1999, JOCE L/047/2002",,FR370501447,pas trouvé AVEC ORBIS,,,
NN34a/2010,N309/2010,Aide au sauvetage en faveur de SeaFrance,SeaFrance,France,H.50.1 - Sea and coastal passenger water transport,NN34a/2010,"Interest subsidy, Soft loan",Ad Hoc Case,18-08-2010,,18-03-10,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,18-08-10,JOCE C/102/2011,NN34a/2010,FR377524319,2,,,28/01/2012
SA.32600,"2011/C, 2011/N",Aide à la restructuration en faveur de SeaFrance,SeaFrance,France,"H.50.1 - Sea and coastal passenger water transport
H.50.2 - Sea and coastal freight water transport",SA.32600,Other forms of equity intervention,Individual Application,,,18-02-11,"Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative decision with recovery,Restructuring firms in difficulty,24-10-11,"JOCE C/208/2011, JOCE L/195/2012","NN34a/2010, SA.31252, SA.31252, SA.31331, SA.31331",FR377524319,2,,,28/01/2012
SA.35389,2013/N,Aide au sauvetage en faveur du Crédit Immobilier de France (CIF) - garanties - France,Crédit Immobilier de France (CIF),France,K - Financial and insurance activities,SA.35389,Guarantee,Ad Hoc Case,27-11-2013,,10-09-12,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,21-02-13,JOCE C/134/2013,SA.37029,FR379502644,0,,,
C58/2003,"C58/2003, NN70/2003",ALSTOM,ALSTOM,France,"C - Manufacturing, C.30.1 - Building of ships and boats",C58/2003,x,Ad Hoc Case,,,17-09-03,"Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision",Conditional decision,Restructuring firms in difficulty,07-07-04,"JOCE C/269/2003, JOCE C/269/2003, JOCE L/150/2005",,FR389058447,0,,,
SA.46077,2016/N,Aide au sauvetage en faveur du Groupe Areva,Groupe Areva,France,F.42.22 - Construction of utility projects for electricity and telecommunications,SA.46077,Soft loan,Individual Application,06-04-2017,06-10-2017,26-07-16,Decision not to raise objections,Decision not to raise objections,Rescuing undertakings in difficulty,10-01-17,JOCE C/83/2017,,FR389191800,0,,,
SA.44727,"2016/C, 2016/N",Restructuring aid to Areva,Areva,France,F.42.22 - Construction of utility projects for electricity and telecommunications,SA.44727,Other forms of equity intervention,Individual Application,10-01-2017,,02-03-16,"Decision to initiate the formal investigation procedure, Positive decision",Positive decision,Restructuring firms in difficulty,10-01-17,"JOCE C/301/2016, JOCE L/155/2017",,FR389191800,0,,Schneider Electrics + Alstom,"Rachetée en 2010, c'était avant l'aide"
SA.23839,"C44/2007, N460/2007",Restructuring aid to FagorBrandt,FagorBrandt,France,C.27.51 - Manufacture of electric domestic appliances,SA.23839,Direct grant,Ad Hoc Case,,,06-08-07,"Conditional decision, Corrigendum, Decision to initiate the formal investigation procedure",Decision to initiate the formal investigation procedure,Restructuring firms in difficulty,28-11-12,"JOCE C/275/2007, JOCE L/160/2009, JOCE L/166/2013",,FR440303196,1,Acquisition 100%,Cevital SPA,09/07/2016
C1/2005,"C1/2005, N426/2004",Aide à la restructuration en faveur d'Euromoteurs,Euromoteurs,France,C.33.20 - Installation of industrial machinery and equipment,C1/2005,"Debt write-off, Direct grant",Individual Application,,,05-10-04,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(5) only - negative decision on notified aid not put into effect",Article 7(5) only - negative decision on notified aid not put into effect,Restructuring firms in difficulty,26-04-06,"JOCE C/137/2005, JOCE L/307/2006",,FR443161427,2,,,
SA.12522,"C32/2003, C37/2008, NN122/2000",Application de la décision SERNAM 2,Sernam,France,"H.49.10 - Passenger rail transport, interurban
H.49.20 - Freight rail transport
H.49.41 - Freight transport by road",SA.12522,Direct grant,Ad Hoc Case,,,16-07-08,"Conditional decision, Decision not to raise objections, Decision to initiate the formal investigation procedure, Negative decision with recovery, Positive decision",Positive Decision,Restructuring firms in difficulty,09-03-12,"JOCE C/182/2003, JOCE C/199/2001, JOCE C/4/2009, JOCE L/140/2006, JOCE L/140/2006, JOCE L/195/2012",,FR484572060,2,,,
SA.20056,"C38/2007, CR38/2007, NN45/2007",Alleged aid to Arbel Fauvet Rail SA,Arbel Fauvet Rail SA,France,C.30.20 - Manufacture of railway locomotives and rolling stock,SA.20056,Soft loan,Ad Hoc Case,,,02-04-08,"Corrigendum, Decision to initiate the formal investigation procedure, Negative decision with recovery, Referral to Court of Justice (non-compliance with decisions), Revocation of a decision",Referral to Court of Justice (non-compliance with decisions),Restructuring firms in difficulty,19-10-11,"JOCE C/249/2007, JOCE L/203/2015, JOCE L/238/2008",,FR493467849,2,,,2019
SA.38545,"2014/C, 2014/NN",Aide en faveur de Mory Ducros et Mory Global – prêt et mesures sociales,Mory Ducros et Mory Global,France,H.53.20 - Other postal and courier activities,SA.38545,"Other, Soft loan",Ad Hoc Case,,,02-04-14,"Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative decision with recovery,Restructuring firms in difficulty,06-11-15,"JOCE C/24/2015, JOCE L/53/2016",,FR534843511,2,,,31/03/2015
